#node	identifier	category	term ID	term description
ACR3	3702.O49285	GO Function	GO:0005488	Binding
ACR3	3702.O49285	GO Function	GO:0016597	Amino acid binding
ACR3	3702.O49285	GO Function	GO:0036094	Small molecule binding
ACR3	3702.O49285	GO Function	GO:0043177	Organic acid binding
ACR3	3702.O49285	GO Component	GO:0005622	Intracellular anatomical structure
ACR3	3702.O49285	GO Component	GO:0005737	Cytoplasm
ACR3	3702.O49285	GO Component	GO:0005829	Cytosol
ACR3	3702.O49285	GO Component	GO:0110165	Cellular anatomical entity
ACR3	3702.O49285	STRING clusters	CL:33205	Mixed, incl. ABC transporter-like, ATP-binding domain, and Root UVB sensitive family
ACR3	3702.O49285	STRING clusters	CL:33206	Mixed, incl. ABC transporter-like, ATP-binding domain, and D-galactoside/L-rhamnose binding SUEL lectin domain
ACR3	3702.O49285	STRING clusters	CL:33207	Mixed, incl. ABC transporter-like, ATP-binding domain, and D-galactoside/L-rhamnose binding SUEL lectin domain
ACR3	3702.O49285	STRING clusters	CL:33208	Mixed, incl. ABC transporter-like, ATP-binding domain, and D-galactoside/L-rhamnose binding SUEL lectin domain
ACR3	3702.O49285	STRING clusters	CL:33209	Mixed, incl. ABC transporter-like, ATP-binding domain, and D-galactoside/L-rhamnose binding SUEL lectin domain
ACR3	3702.O49285	STRING clusters	CL:33210	ABC transporter-like, ATP-binding domain, and D-galactoside/L-rhamnose binding SUEL lectin domain
ACR3	3702.O49285	STRING clusters	CL:33211	ABC transporter-like, ATP-binding domain, and D-galactoside/L-rhamnose binding SUEL lectin domain
ACR3	3702.O49285	STRING clusters	CL:33429	Mixed, incl. Phytochelatin transport, and Lead ion transport
ACR3	3702.O49285	STRING clusters	CL:33430	Mixed, incl. Phytochelatin transport, and (+)-Abscisic acid D-glucopyranosyl ester transmembrane transport
ACR3	3702.O49285	COMPARTMENTS	GOCC:0005622	Intracellular
ACR3	3702.O49285	COMPARTMENTS	GOCC:0005737	Cytoplasm
ACR3	3702.O49285	COMPARTMENTS	GOCC:0005829	Cytosol
ACR3	3702.O49285	COMPARTMENTS	GOCC:0016020	Membrane
ACR3	3702.O49285	COMPARTMENTS	GOCC:0016021	Integral component of membrane
ACR3	3702.O49285	COMPARTMENTS	GOCC:0031224	Intrinsic component of membrane
ACR3	3702.O49285	COMPARTMENTS	GOCC:0032991	Protein-containing complex
ACR3	3702.O49285	COMPARTMENTS	GOCC:0098796	Membrane protein complex
ACR3	3702.O49285	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
ACR3	3702.O49285	COMPARTMENTS	GOCC:1902495	Transmembrane transporter complex
ACR3	3702.O49285	COMPARTMENTS	GOCC:1990281	Efflux pump complex
ACR3	3702.O49285	COMPARTMENTS	GOCC:1990351	Transporter complex
ACR3	3702.O49285	UniProt Keywords	KW-0677	Repeat
ACR3	3702.O49285	Pfam	PF01842	ACT domain
ACR3	3702.O49285	InterPro	IPR002912	ACT domain
