g106325.t1 	g171774.t1
g106325.t1 	g191150.t1
g106325.t1 	g342104.t1
g106325.t1 	g368937.t1
g106325.t1 	g428538.t1
g106325.t1 	g525889.t1
g171774.t1 	g191150.t1
g171774.t1 	g342104.t1
g171774.t1 	g525889.t1
g191150.t1 	g342104.t1
g342104.t1 	g525889.t1
g368937.t1 	g428538.t1
g368937.t1 	g525889.t1
